t_end,latency_ms,cache_hit
1756718862.289590,0.013,1
1756718862.323102,33.236,0
1756718862.323258,33.375,0
1756718862.323375,33.472,0
1756718862.324982,35.173,0
1756718862.360988,35.497,0
1756718862.361191,35.565,0
1756718862.361377,35.716,0
1756718862.361575,35.992,0
1756718862.393419,31.227,0
1756718862.396572,34.480,0
1756718862.396725,34.494,0
1756718862.396834,34.553,0
1756718862.432970,35.553,0
1756718862.433440,35.964,0
1756718862.433569,36.065,0
1756718862.433627,36.089,0
1756718862.465720,31.408,0
1756718862.467681,33.511,0
1756718862.469290,35.049,0
1756718862.469323,35.052,0
1756718862.469549,0.035,1
1756718862.469563,0.009,1
1756718862.469574,0.008,1
1756718862.469586,0.008,1
1756718862.469771,0.032,1
1756718862.469784,0.008,1
1756718862.469796,0.008,1
1756718862.469807,0.007,1
1756718862.470000,0.035,1
1756718862.470014,0.009,1
1756718862.470026,0.008,1
1756718862.470039,0.008,1
1756718862.470237,0.040,1
1756718862.470255,0.010,1
1756718862.470267,0.009,1
1756718862.470279,0.008,1
1756718862.470474,0.042,1
1756718862.470491,0.010,1
1756718862.470504,0.008,1
1756718862.470516,0.009,1
1756718862.470701,0.036,1
1756718862.470715,0.009,1
1756718862.470727,0.009,1
1756718862.470739,0.008,1
1756718862.506033,35.144,0
1756718862.506098,35.181,0
1756718862.506124,35.186,0
1756718862.506149,35.221,0
1756718862.506411,0.046,1
1756718862.506430,0.011,1
1756718862.506444,0.009,1
1756718862.506457,0.008,1
1756718862.538046,31.430,0
1756718862.541784,35.131,0
1756718862.541838,35.174,0
1756718862.541875,35.199,0
1756718862.542237,0.059,1
1756718862.542265,0.015,1
1756718862.542285,0.014,1
1756718862.542302,0.013,1
1756718862.542638,0.059,1
1756718862.542664,0.016,1
1756718862.542683,0.013,1
1756718862.542700,0.012,1
1756718862.543003,0.054,1
1756718862.543025,0.013,1
1756718862.543043,0.012,1
1756718862.543060,0.011,1
1756718862.543345,0.052,1
1756718862.543366,0.014,1
1756718862.543383,0.012,1
1756718862.543400,0.011,1
1756718862.543676,0.052,1
1756718862.543696,0.013,1
1756718862.543714,0.012,1
1756718862.543731,0.011,1
1756718862.575948,31.715,0
1756718862.579019,34.890,0
1756718862.579141,34.960,0
1756718862.579343,35.087,0
1756718862.580002,0.116,1
1756718862.580049,0.030,1
1756718862.580088,0.027,1
1756718862.580127,0.026,1
1756718862.580787,0.120,1
1756718862.580836,0.030,1
1756718862.580875,0.025,1
1756718862.580913,0.026,1
1756718862.581470,0.110,1
1756718862.581512,0.028,1
1756718862.581547,0.024,1
1756718862.581567,0.014,1
1756718862.581908,0.058,1
1756718862.581931,0.015,1
1756718862.581951,0.013,1
1756718862.581970,0.013,1
1756718862.582266,0.057,1
1756718862.582288,0.014,1
1756718862.582308,0.013,1
1756718862.582327,0.013,1
1756718862.582610,0.057,1
1756718862.582632,0.015,1
1756718862.582651,0.013,1
1756718862.582670,0.013,1
1756718862.582986,0.063,1
1756718862.583013,0.017,1
1756718862.583035,0.015,1
1756718862.583055,0.014,1
1756718862.583371,0.058,1
